Trial,Flip,Time
1,1,1742800776.3972936
1,2,1742800779.0638838
1,3,1742800782.2349684
1,4,1742800786.0952868
1,5,1742800788.2152212
1,6,1742800791.0519612
1,7,1742800793.7183356
1,8,1742800797.4593594
1,9,1742800799.526125
1,10,1742800802.083752
